cleaned_reviews,talks about food combinations,talks about taste,talks about value for money ,other
"['easily', 'best', 'sauvignon', 'blanc', 'ive', 'date', 'beautiful', 'array', 'flavor', 'nose', 'lemon', 'apple', 'honey', 'peach', 'citrus', 'great', 'balance', 'acidity', 'slight', 'buttery', 'flavor', 'mid', 'palate', 'smooth', 'medium', 'finish', 'definitely', 'worth']",0,1,1,0
"['excellent', 'mockingbird', 'inn']",0,0,0,1
"['absolutely', 'incredible', 'one', 'best', 'sauvignon', 'blanc', 'ive', 'ever', 'pleasure', 'taste']",0,1,0,0
"['reported', 'nytimes', 'try']",0,0,0,1
"['great', 'much', 'different', 'sauv', 'blanc', 'since', 'aged', 'oak', 'day', 'open', 'fridge', 'way', 'better']",0,0,0,1
"['nice', 'balanced', 'svb', 'enough', 'apple', 'citrus', 'light', 'grass', 'enough', 'flavor', 'enjoy']",0,1,0,0
"['oak', 'stone', 'first', 'followed', 'little', 'peach', 'finish', 'apricot', 'green', 'apple', 'good', 'bottle', 'price']",0,1,1,0
"['stunning', 'delicious', 'sophisticated', 'incomparable', 'sb', 'welcome', 'addition', 'wonderful', 'world', 'sb']",0,1,0,1
"['fantastic', 'expression', 'napa', 'sav', 'blanc', 'incredible', 'peach', 'undertone', 'went', 'well', 'grilled', 'peach', 'avo', 'salad']",1,0,0,0
"['think', 'first', 'cali', 'sauvignon', 'blanc', 'fruity', 'honeysuckle', 'maybe', 'little', 'oily', 'slightly', 'sweet']",0,1,0,0
"['one', 'best', 'sauv', 'blanc', 'made', 'accolade', 'smooth', 'crisp', 'front', 'memorable', 'finish']",0,1,0,0
"['another', 'bottle', 'another', 'great', 'dinner', 'soft', 'shell', 'crab', 'drink', 'wine', 'great', 'balance', 'fruit', 'verve']",1,0,0,0
"['clean', 'pear', 'front', 'beautiful', 'subtle', 'butter', 'spicy', 'finish', 'one', 'better', 'sav', 'blanc']",0,1,0,0
"['smooth', 'slightly', 'sweet', 'pear', 'apple', 'mango', 'note', 'medium', 'bodied', 'well', 'balanced', 'pair', 'well', 'cheese']",1,0,0,0
"['honey', 'pear', 'grilled', 'pineapple', 'nose', 'earthy', 'palate', 'pear', 'mild', 'grapefruit', 'green', 'apple']",0,0,0,1
"['one', 'better', 'sauvignon', 'blanc', 'ive', 'tasted', 'pear', 'apple', 'palate', 'good', 'mix', 'minerality', 'butter']",1,1,0,0
"['dry', 'high', 'acidity', 'high', 'alcohol', 'medium', 'bodied', 'grass', 'vanilla', 'liquorice', 'palate', 'good', 'quality']",1,1,0,0
"['crisp', 'tart', 'flavor', 'upfront', 'nice', 'sweet', 'pear', 'finish', 'aroma', 'wild', 'flower', 'honey', 'suckle', 'exceptional', 'wine']",0,0,0,1
"['dry', 'fruit', 'forward', 'bad', 'linger', 'palate', 'bought', 'bottle', 'tasting', 'enjoy', 'much']",0,1,0,0
"['love', 'wine', 'medium', 'full', 'bodied', 'low', 'sweetness', 'medium', 'high', 'acidity', 'melon', 'citrus', 'mmmm']",0,1,0,0
"['still', 'favorite', 'deep', 'color', 'pleasant', 'tone', 'pear', 'good', 'enough', 'match', 'spicy', 'pork', 'dish', 'melon']",1,1,0,0
"['mainly', 'honeydew', 'melon', 'pear', 'overtone', 'enjoyable', 'substantial', 'popular', 'sauv', 'blanc']",0,1,0,0
"['grapefruit', 'lime', 'mineral', 'note', 'lite', 'residual', 'sugar', 'mild', 'smooth', 'med', 'plus', 'acid', 'med', 'complexity', 'easy', 'drinking', 'good', 'food', 'wine']",0,1,0,0
"['gorgeous', 'strong', 'gooseberry', 'nose', 'oh', 'ripeness', 'fruit', 'show', 'peach', 'tropical', 'fruit', 'excellent']",0,1,0,0
"['pear', 'melon', 'clean', 'drink', 'almost', 'like', 'german', 'white', 'remember', 'maybe', 'pepper', 'finish', 'id', 'drink']",0,1,0,0
"['simply', 'lovely', 'wine', 'thank', 'kelly', 'kyle', 'thoughtfully', 'providing', 'well', 'worth', 'trying']",0,0,0,1
"['super', 'sweet', 'kiwi', 'pineapple', 'white', 'peach', 'super', 'easy', 'drinking', 'delish', 'refreshing', 'lovely']",0,1,0,0
"['candied', 'apricot', 'give', 'way', 'peach', 'finish', 'absolutely', 'delightfully', 'delicious', 'bacon', 'wrapped', 'sea', 'scallop']",1,1,0,0
"['amazing', 'fruit', 'note', 'apple', 'nose', 'french', 'oak', 'give', 'little', 'twist', 'texture', 'merry', 'never', 'disappoints']",0,1,0,0
"['great', 'sauv', 'blanc', 'price', 'smooth', 'well', 'balanced', 'banana', 'apple', 'hint', 'seems', 'lower', 'acidity']",0,1,0,0
"['crisp', 'hint', 'minerality', 'cream', 'flavor', 'citrus', 'peach', 'flower', 'nose', 'nice', 'wine']",0,1,0,0
"['wow', 'awesome', 'wine', 'passion', 'fruit', 'vanilla', 'incredibly', 'soft', 'tongue', 'paid', '33', 'well', 'worth']",0,1,1,0
"['fruity', 'creamy', 'smooth', 'hint', 'pear', 'sweet', 'apple', 'paired', 'really', 'well', 'japanese', 'food', 'enjoyed', 'much']",1,1,0,0
"['floral', 'nose', 'sweet', 'peach', 'soft', 'mouth', 'bought', 'vineyard', 'educational', 'tasting']",0,1,1,0
"['delicious', 'kind', 'syrupy', 'sweet', 'strong', 'grape', 'flavor', 'unlike', 'new', 'zealand', 'sauvignon', 'blanca']",0,1,0,0
"['golden', 'color', 'floral', 'green', 'apple', 'aroma', 'fruity', 'little', 'creamy', 'taste', 'honey', 'hint', 'caramel', 'nice']",0,1,0,0
"['delicious', 'complex', 'nice', 'crisp', 'apple', 'long', 'finish', 'obama', 'case', 'maybe', 'inauguration']",0,1,0,0
"['love', 'pineapple', 'pear', 'set', 'smooth', 'butter', 'fantastic', 'expression', 'sauvignon', 'blanc', 'welcome', 'departure', 'acid', 'bomb']",0,1,0,0
"['great', 'sauvignon', 'blanc', 'one', 'best', 'ive', 'tasted', 'green', 'apple', 'honey', 'flavor', 'palate']",0,1,0,0
"['frutier', 'side', 'sb', 'great', 'taste', 'melon', 'fill', 'mouth', 'awesome', 'bottle', 'design', 'well']",0,1,0,1
"['pale', 'pale', 'straw', 'pear', 'sweetness', 'nose', 'continues', 'palate', 'almost', 'taste', 'like', 'late', 'harvest']",0,1,0,0
"['saw', 'creamy', 'pear', 'comment', 'feel', 'like', 'spot', 'description', 'good', 'first', 'impression', '40']",0,1,1,0
"['wine', 'balanced', 'smooth', 'beautiful', 'round', 'melon', 'mineral', 'pear', 'delicious', 'perfect', 'sauvignon', 'blanc']",0,1,0,0
"['definitely', 'tropical', 'fruit', 'forward', 'flavorful', 'sb', 'full', 'body', 'concentration', 'stand', 'rich', 'shrimp', 'lobster']",1,1,0,0
"['pleasant', 'scent', 'light', 'pear', 'nose', 'pear', 'hint', 'earth', 'finish', 'green', 'apple', 'tongue', 'light', 'mildly', 'bright']",0,0,0,1
"['strange', 'sauv', 'blanc', 'creamy', 'rich', 'peppery', 'finish', 'hint', 'sweetness', 'would', 'sworn', 'viognier']",0,1,0,0
"['good', 'sauvignon', 'blanc', 'american', 'style', 'fuller', 'fruitier', 'european', 'balance', 'good', 'though']",0,1,0,0
"['dream', 'almost', 'creamy', 'finish', 'depth', 'one', 'would', 'expect', 'sauv', 'could', 'drink', 'day']",0,1,0,0
"['hot', 'vintage', 'light', 'colour', 'golden', 'green', 'fleck', 'nose', 'white', 'pineapple', 'stick', 'nose', 'viscous', 'lemon', 'oil', 'way', 'savoury', 'mixed', 'green', 'herb', 'grilled', 'peach', 'palate', 'equally', 'complex', 'attack', 'melon', 'creamy', 'kiwi', 'finish', 'salty', 'mineral', 'focused', 'slight', 'sweet', 'lift', 'mouth', 'feel', 'particularly', 'nose', 'grow', 'breadth', 'weight', 'open', 'truly', 'sublime', 'pairing', 'grilled', 'asparagus', 'sauce', 'gribiche', 'ham', 'parmesan', 'lemon', 'oil']",0,1,0,1
"['house', 'nicely', 'balanced', 'feel', 'like', 'oak', 'perhaps', 'lee', 'honeydew', 'melon', 'honey', 'rosemary', 'papaya', 'complex', 'fruit', 'forward', 'lower', 'acid', 'probably', 'would', 'guessed', 'sauvignon', 'blanc', 'bubblegum', 'refreshing', 'thirstquenching']",0,1,0,0
